project,is_a_fork,has_issues,contributors,commits,stars,forks,top-contributor,to_select,comment,
https://github.com/mlflow/mlflow,FALSE,TRUE,75,532,3169,546,https://api.github.com/users/smurching,TRUE,,
https://github.com/nl8590687/ASRT_SpeechRecognition,FALSE,TRUE,5,135,821,309,https://api.github.com/users/nl8590687,TRUE,,
https://github.com/allenai/allennlp,FALSE,TRUE,96,1313,5377,1012,https://api.github.com/users/schmmd,TRUE,,
https://github.com/aws/sagemaker-containers,FALSE,TRUE,14,126,32,25,https://api.github.com/users/mvsusp,TRUE,,
https://github.com/CSTR-Edinburgh/merlin,FALSE,TRUE,23,363,814,298,https://api.github.com/users/ronanki,TRUE,,
https://github.com/eriklindernoren/Keras-GAN,FALSE,TRUE,10,170,3832,1248,https://api.github.com/users/eriklindernoren,TRUE,Keras for GAN,
https://github.com/apple/coremltools,FALSE,TRUE,34,289,1309,156,https://api.github.com/users/aseemw,TRUE,,
https://github.com/stellargraph/stellargraph,FALSE,TRUE,13,928,290,34,https://api.github.com/users/youph,TRUE,,
https://github.com/Rayhane-mamah/Tacotron-2,FALSE,TRUE,14,155,725,293,https://api.github.com/users/Rayhane-mamah,TRUE,,
https://github.com/Sashulik/Detroit-Autonomous-Vehicle-Group,FALSE,TRUE,7,145,12,16,https://api.github.com/users/Sashulik,TRUE,,
https://github.com/SummaLabs/DLS,FALSE,TRUE,5,744,16,13,https://api.github.com/users/sergokov,TRUE,,
